和风天气中国城市列表 v1.3

城市/地区编码	英文	中文	国家代码	国家英文	国家中文	省英文	省中文	所属上级市英文	所属上级市中文	纬度	经度
CN101010100	beijing	北京	CN	China	中国	beijing	北京	beijing	北京	39.904989	116.405285
CN101010200	haidian	海淀	CN	China	中国	beijing	北京	beijing	北京	39.956074	116.310316
CN101010300	chaoyang	朝阳	CN	China	中国	beijing	北京	beijing	北京	39.921489	116.486409
CN101010400	shunyi	顺义	CN	China	中国	beijing	北京	beijing	北京	40.128936	116.653525
CN101010500	huairou	怀柔	CN	China	中国	beijing	北京	beijing	北京	40.324272	116.637122
CN101010600	tongzhou	通州	CN	China	中国	beijing	北京	beijing	北京	39.902486	116.658603
CN101010700	changping	昌平	CN	China	中国	beijing	北京	beijing	北京	40.218085	116.235906
CN101010800	yanqing	延庆	CN	China	中国	beijing	北京	beijing	北京	40.465325	115.985006
CN101010900	fengtai	丰台	CN	China	中国	beijing	北京	beijing	北京	39.863642	116.286968
CN101011000	shijingshan	石景山	CN	China	中国	beijing	北京	beijing	北京	39.914601	116.195445
CN101011100	daxing	大兴	CN	China	中国	beijing	北京	beijing	北京	39.728908	116.338033
CN101011200	fangshan	房山	CN	China	中国	beijing	北京	beijing	北京	39.735535	116.139157
CN101011300	miyun	密云	CN	China	中国	beijing	北京	beijing	北京	40.377362	116.843352
CN101011400	mentougou	门头沟	CN	China	中国	beijing	北京	beijing	北京	39.937183	116.105381
CN101011500	pinggu	平谷	CN	China	中国	beijing	北京	beijing	北京	40.144783	117.112335
CN101011600	dongcheng	东城	CN	China	中国	beijing	北京	dongcheng	东城	39.917544	116.418757
CN101011700	xicheng	西城	CN	China	中国	beijing	北京	xicheng	西城	39.915309	116.366794
CN101020100	shanghai	上海	CN	China	中国	shanghai	上海	shanghai	上海	31.231706	121.472644
CN101020200	minhang	闵行	CN	China	中国	shanghai	上海	shanghai	上海	31.111658	121.375972
CN101020300	baoshan	宝山	CN	China	中国	shanghai	上海	shanghai	上海	31.398896	121.489934
CN101020400	huangpu	黄浦	CN	China	中国	shanghai	上海	huangpu	黄浦	31.222771	121.490317
CN101020500	jiading	嘉定	CN	China	中国	shanghai	上海	shanghai	上海	31.383524	121.250333
CN101020600	pudongxinqu	浦东新区	CN	China	中国	shanghai	上海	shanghai	上海	31.245944	121.567706
CN101020700	jinshan	金山	CN	China	中国	shanghai	上海	shanghai	上海	30.724697	121.330736
CN101020800	qingpu	青浦	CN	China	中国	shanghai	上海	shanghai	上海	31.151209	121.113021
CN101020900	songjiang	松江	CN	China	中国	shanghai	上海	shanghai	上海	31.03047	121.223543
CN101021000	fengxian	奉贤	CN	China	中国	shanghai	上海	shanghai	上海	30.912345	121.458472
CN101021100	chongming	崇明	CN	China	中国	shanghai	上海	shanghai	上海	31.626946	121.397516
CN101021200	xuhui	徐汇	CN	China	中国	shanghai	上海	shanghai	上海	31.179973	121.43752
CN101021300	changning	长宁	CN	China	中国	shanghai	上海	changning	长宁	31.218123	121.4222
CN101021400	jingan	静安	CN	China	中国	shanghai	上海	jingan	静安	31.229003	121.448224
CN101021500	putuo	普陀	CN	China	中国	shanghai	上海	putuo	普陀	31.241701	121.392499
CN101021600	hongkou	虹口	CN	China	中国	shanghai	上海	hongkou	虹口	31.26097	121.491832
CN101021700	yangpu	杨浦	CN	China	中国	shanghai	上海	yangpu	杨浦	31.270755	121.522797
CN101030100	tianjin	天津	CN	China	中国	tianjin	天津	tianjin	天津	39.125596	117.190182
CN101030200	wuqing	武清	CN	China	中国	tianjin	天津	tianjin	天津	39.376925	117.057959
CN101030300	baodi	宝坻	CN	China	中国	tianjin	天津	tianjin	天津	39.716965	117.308094
CN101030400	dongli	东丽	CN	China	中国	tianjin	天津	tianjin	天津	39.087764	117.313967
CN101030500	xiqing	西青	CN	China	中国	tianjin	天津	tianjin	天津	39.139446	117.012247
CN101030600	beichen	北辰	CN	China	中国	tianjin	天津	tianjin	天津	39.225555	117.13482
CN101030700	ninghe	宁河	CN	China	中国	tianjin	天津	tianjin	天津	39.328886	117.82828
CN101030800	heping	和平	CN	China	中国	tianjin	天津	heping	和平	39.118327	117.195907
CN101030900	jinghai	静海	CN	China	中国	tianjin	天津	tianjin	天津	38.935671	116.925304
CN101031000	jinnan	津南	CN	China	中国	tianjin	天津	tianjin	天津	38.989577	117.382549
CN101031100	binhaixinqu	滨海新区	CN	China	中国	tianjin	天津	tianjin	天津	39.032846	117.654173
CN101031200	hedong	河东	CN	China	中国	tianjin	天津	hedong	河东	39.122125	117.226568
CN101031300	hexi	河西	CN	China	中国	tianjin	天津	hexi	河西	39.101897	117.217536
CN101031400	jizhou	蓟州	CN	China	中国	tianjin	天津	tianjin	天津	40.045342	117.407449
CN101031500	nankai	南开	CN	China	中国	tianjin	天津	nankai	南开	39.120474	117.164143
CN101031600	hebei	河北	CN	China	中国	tianjin	天津	hebei	河北	39.156632	117.201569
CN101031700	hongqiao	红桥	CN	China	中国	tianjin	天津	hongqiao	红桥	39.175066	117.163301
CN101040100	chongqing	重庆	CN	China	中国	chongqing	重庆	chongqing	重庆	29.291965	108.170255
CN101040200	yongchuan	永川	CN	China	中国	chongqing	重庆	chongqing	重庆	29.348748	105.894714
CN101040300	hechuan	合川	CN	China	中国	chongqing	重庆	chongqing	重庆	29.990993	106.265554
CN101040400	nanchuan	南川	CN	China	中国	chongqing	重庆	chongqing	重庆	29.156646	107.098153
CN101040500	jiangjin	江津	CN	China	中国	chongqing	重庆	chongqing	重庆	29.283387	106.253156
CN101040700	yubei	渝北	CN	China	中国	chongqing	重庆	chongqing	重庆	29.601451	106.512851
CN101040800	beibei	北碚	CN	China	中国	chongqing	重庆	chongqing	重庆	29.82543	106.437868
CN101040900	banan	巴南	CN	China	中国	chongqing	重庆	chongqing	重庆	29.381919	106.519423
CN101041000	changshou	长寿	CN	China	中国	chongqing	重庆	chongqing	重庆	29.833671	107.074854
CN101041100	qianjiang	黔江	CN	China	中国	chongqing	重庆	chongqing	重庆	29.527548	108.782577
CN101041200	yuzhong	渝中	CN	China	中国	zhongqing	重庆	yuzhong	渝中	29.556742	106.56288
CN101041300	wanzhou	万州	CN	China	中国	chongqing	重庆	chongqing	重庆	30.807807	108.380246
CN101041400	fuling	涪陵	CN	China	中国	chongqing	重庆	chongqing	重庆	29.703652	107.394905
CN101041500	kaixian	开县	CN	China	中国	chongqing	重庆	chongqing	重庆	31.12	108.26
CN101041600	chengkou	城口	CN	China	中国	chongqing	重庆	chongqing	重庆	31.946293	108.6649
CN101041700	yunyang	云阳	CN	China	中国	chongqing	重庆	chongqing	重庆	30.930529	108.697698
CN101041800	wuxi	巫溪	CN	China	中国	chongqing	重庆	chongqing	重庆	31.3966	109.628912
CN101041900	fengjie	奉节	CN	China	中国	chongqing	重庆	chongqing	重庆	31.019967	109.465774
CN101042000	wushan	巫山	CN	China	中国	chongqing	重庆	chongqing	重庆	31.074843	109.878928
CN101042100	tongnan	潼南	CN	China	中国	chongqing	重庆	chongqing	重庆	30.189554	105.841818
CN101042200	dianjiang	垫江	CN	China	中国	chongqing	重庆	chongqing	重庆	30.330012	107.348692
CN101042300	liangping	梁平	CN	China	中国	chongqing	重庆	chongqing	重庆	30.672168	107.800034
CN101042400	zhongxian	忠县	CN	China	中国	chongqing	重庆	chongqing	重庆	30.291537	108.037518
CN101042500	shizhu	石柱	CN	China	中国	chongqing	重庆	chongqing	重庆	29.99853	108.112448
CN101042600	dazu	大足	CN	China	中国	chongqing	重庆	chongqing	重庆	29.700498	105.715319
CN101042700	rongchang	荣昌	CN	China	中国	chongqing	重庆	chongqing	重庆	29.403627	105.594061
CN101042800	tongliang	铜梁	CN	China	中国	chongqing	重庆	chongqing	重庆	29.839944	106.054948
CN101042900	bishan	璧山	CN	China	中国	chongqing	重庆	chongqing	重庆	29.593581	106.231126
CN101043000	fengdu	丰都	CN	China	中国	chongqing	重庆	chongqing	重庆	29.866424	107.73248
CN101043100	wulong	武隆	CN	China	中国	chongqing	重庆	chongqing	重庆	29.32376	107.75655
CN101043200	pengshui	彭水	CN	China	中国	chongqing	重庆	chongqing	重庆	29.293856	108.166551
CN101043300	qijiang	綦江	CN	China	中国	chongqing	重庆	chongqing	重庆	29.028091	106.651417
CN101043400	youyang	酉阳	CN	China	中国	chongqing	重庆	chongqing	重庆	28.839828	108.767201
CN101043500	dadukou	大渡口	CN	China	中国	zhongqing	重庆	dadukou	大渡口	29.481002	106.48613
CN101043600	xiushan	秀山	CN	China	中国	chongqing	重庆	chongqing	重庆	28.444772	108.996043
CN101043700	jiangbei	江北	CN	China	中国	zhongqing	重庆	jiangbei	江北	29.575352	106.532844
CN101043800	shapingba	沙坪坝	CN	China	中国	zhongqing	重庆	shapingba	沙坪坝	29.541224	106.4542
CN101043900	jiulongpo	九龙坡	CN	China	中国	zhongqing	重庆	jiulongpo	九龙坡	29.523492	106.480989
